country,callsign,velocity,vertical_rate,bar_altitude
Malta,RYR531M ,225.06,0.0,11277.6
Spain,VLG1008 ,166.76,-5.2,4945.38
Spain,TX03    ,0.0,0.0,0.0
Ireland,RYR11KE ,180.12,-22.11,5958.84
Ireland,NOS1661 ,265.55,-0.33,11277.6
Germany,DAAAY   ,139.75,-7.15,2286.0
Spain,,44.45,0.65,487.68
France,FMMCE   ,61.61,2.6,822.96
Malta,WMT734  ,205.04,-5.2,8884.92
United Kingdom,TOM3AH  ,196.94,0.0,10972.8
Germany,EWG40F  ,231.38,0.0,10378.44
Malta,WMT7LW  ,194.93,0.0,11277.6
Malta,EWG67W  ,197.49,0.0,10980.42
Malta,EWG3NB  ,238.83,-4.88,9616.44
Malta,WMT1257 ,219.67,0.0,11292.84
Switzerland,EDW220M ,205.04,-9.43,7780.02
United Kingdom,EXS5YQ  ,197.02,0.0,10972.8
United Kingdom,EXS130  ,198.77,0.0,10668.0
Spain,IBB6XE  ,211.99,-0.33,11582.4
Germany,CFG2MV  ,214.67,2.93,9799.32
Malta,OSPREY3 ,67.14,0.0,1501.14
United Kingdom,TOM4NJ  ,245.11,5.85,11468.1
Australia,ANE81BV ,187.3,-2.93,3329.94
Denmark,CAT731  ,246.08,0.0,11277.6
