country,callsign,velocity,vertical_rate,bar_altitude
Malta,RYR889A ,211.88,1.63,7620.0
Malta,RYR3UR  ,232.16,0.0,11582.4
Malta,RYR350A ,233.38,-4.88,10873.74
Malta,RYR23ZR ,187.09,-18.53,7231.38
Malta,RYR3615 ,181.68,-9.43,5318.76
Malta,RYR84FW ,216.88,-10.4,10180.32
Malta,RYR73ZU ,237.59,0.0,11277.6
Malta,RYR94TN ,198.68,14.96,4084.32
Malta,RYR96VH ,124.16,-1.95,1638.3
Malta,RYR23CG ,202.63,-5.53,8694.42
Malta,RYR97VX ,87.62,-1.95,1120.14
Malta,RYR43PX ,234.9,0.0,11582.4
Malta,RYR17KF ,234.93,0.0,11277.6
Malta,RYR5TL  ,90.03,-5.2,830.58
Malta,RYR2PY  ,227.36,0.33,10972.8
Malta,RYR4ZJ  ,219.66,0.0,8534.4
Malta,RYR85JL ,89.49,-5.2,914.4
Saudi Arabia,SVA3407 ,224.87,0.0,10363.2
Portugal,NJE544U ,225.33,-10.4,9319.26
Saudi Arabia,SVA167  ,228.11,0.33,10972.8
Malta,9HMDV   ,36.54,-3.58,205.74
Portugal,NJU535Y ,234.25,0.0,12496.8
Italy,DLA3TW  ,212.15,-10.4,8496.3
Italy,DLA6MF  ,82.24,-4.88,731.52
Switzerland,SWR8LZ  ,7.72,0.0,198.12
Saudi Arabia,HZCMJ   ,227.98,-6.5,10622.28
Malta,VJT480  ,233.13,0.0,11887.2
Ireland,RYR2NR  ,233.03,0.0,10668.0
Malta,VCJ1MA  ,210.36,0.65,11887.2
Malta,WMT6US  ,237.33,4.88,7376.16
Malta,VJT401  ,238.85,0.33,13716.0
Saudi Arabia,SVA121  ,241.08,0.0,10363.2
Ireland,ITY1764 ,180.51,11.7,5882.64
Malta,MNS526  ,194.13,-17.23,4008.12
Saudi Arabia,SVA918  ,270.82,0.0,10668.0
Italy,ID271   ,55.34,0.33,1036.32
Malta,WMT5RB  ,228.78,0.65,10988.04
Germany,EWG44E  ,246.09,0.0,10050.78
United Kingdom,BAW627  ,228.44,0.65,11590.02
United Kingdom,BAW521  ,227.73,0.0,10980.42
Malta,WZZ6GT  ,164.37,-9.1,4922.52
Malta,WZZ8PP  ,240.42,-0.33,10660.38
Malta,RYR2PK  ,241.65,0.33,11277.6
Saudi Arabia,SVA201  ,211.37,-0.33,10965.18
Germany,OCN3VU  ,231.34,0.0,10058.4
Greece,AEE7VC  ,214.92,-9.75,9890.76
Greece,AEE682  ,222.87,0.0,10980.42
Malta,KMM117  ,240.92,0.0,10058.4
Saudi Arabia,HZATS   ,265.74,0.0,12496.8
Germany,DLH7JT  ,228.59,0.33,10972.8
Germany,DLH2UT  ,212.73,-0.33,10370.82
Germany,DLH1UW  ,222.75,0.0,10058.4
Germany,OCN324  ,249.38,0.0,10668.0
Malta,WMT956  ,11.32,0.0,0.0
United Kingdom,TOM698  ,239.76,0.0,10668.0
Jordan,AWS901  ,260.36,0.33,10668.0
